Actor,Name,Birth,Birthplace,Buried,Gender,Occupation,First_mentioned
1,Jan Van Leefdael,1603,Brussels,1653,Male,Tapestry producer,1628
2,Johanna Casteleyn,1601,Brussels,1662,Female,,
3,Gerard Van der Strecken,1603,Brussels,1677,Male,Merchant,1628
4,Maria Van Leefdael,1606,Brussels,1680,Female,,
5,Anna Van Leefdael,1626,Brussels,1677,Female,,
6,Gielis Van Leefdael,1629,Brussels,1635,Male,,
7,Willem Van Leefdael,1632,Brussels,1688,Male,Tapestry producer,1650
8,Johannes Van Leefdael,1636,Brussels,1656,Male,,
9,Maria Van Leefdael,1646,Brussels,1700,Female,,
10,Johannes Van den Strecken,1630,Brussels,1633,Male,,
11,Hieronymus Van der Strecken,1631,Brussels,1680,Male,Merchant,1650
12,Johanna Van der Strecken,1633,Brussels,1700,Female,,
13,Maria Van der Strecken,1640,Brussels,1709,Female,,
14,Anna Van der Strecken,1646,Brussels,1665,Female,,
15,Gerard Van der Strecken,1648,Brussels,1649,Male,,
16,Frans Wouters,1600,Antwerp,1676,Male,Painter,1660
17,Cornelia Beerens,1612,Antwerp,1699,Female,,
18,Cornelia Wouters,1630,Antwerp,1711,Female,,
19,Marcus Wouters,1632,Antwerp,1696,Male,Painter,1652
20,Willem Van Leefdael,1651,Brussels,1720,Male,,
21,Cornelia Van Leefdael,1652,Brussels,1654,Female,,
22,Clara Van Leefdael,1654,Brussels,1712,Female,,
23,Judocus Van Leefdael,1656,Brussels,1714,Male,,
24,Anna Roothoofds,1628,Brussels,1659,Female,,
25,Gerard Van der Strecken,1648,Brussels,1650,Male,,
26,Anna Van der Strecken,1649,Brussels,1701,Female,,
27,Willem Van der Strecken,1650,Brussels,1717,Male,,
28,Judocus Van der Strecken,1652,Brussels,1699,Male,,
29,Maria Van der Strecken,1654,Brussels,1655,Female,,
30,Maria Van der Strecken,1656,Brussels,1717,Female,,
31,Gerard Van der Strecken,1659,Brussels,1678,Male,,
32,Godparent 1,,Brussels,,Male,,
33,Godparent 2,,Brussels,,Male,,
34,Godparent 3,,Brussels,,Male,,
35,Godparent 4,,Brussels,,Male,,
36,Godparent 5,,Brussels,,Male,,
37,Godparent 6,,Brussels,,Male,,
38,Godparent 7,,Brussels,,Male,,
39,Godparent 8,,Brussels,,Male,,
40,Godparent 9,,Brussels,,Male,,
41,Godparent 10,,Brussels,,Male,,
42,Godparent 11,,Brussels,,Male,,
43,Godparent 12,,Brussels,,Male,,
44,Godparent 13,,Brussels,,Female,,
45,Godparent 14,,Brussels,,Female,,
46,Godparent 15,,Brussels,,Female,,
47,Godparent 16,,Brussels,,Female,,
48,Godparent 17,,Brussels,,Female,,
49,Godparent 18,,Brussels,,Female,,
50,Godparent 19,,Brussels,,Female,,
51,Godparent 20,,Brussels,,Female,,
52,Godparent 21,,Brussels,,Female,,
53,Godparent 22,,Brussels,,Female,,
54,Godparent 23,,Brussels,,Female,,
55,Godparent 24,,Brussels,,Female,,
56,Godparent 25,,Antwerp,,Male,,
57,Godparent 26,,Antwerp,,Male,,
58,Godparent 27,,Antwerp,,Female,,
59,Godparent 28,,Antwerp,,Female,,
